region,offset,bit,model_class
imem,0x0f0,22,HANG
imem,0x0f0,23,HANG
imem,0x0f0,24,HANG
imem,0x0f0,25,HANG
imem,0x0f0,26,HANG
imem,0x0f0,27,HANG
imem,0x0f0,28,HANG
imem,0x0f0,29,HANG
imem,0x0f0,30,HANG
imem,0x0f0,31,HANG
imem,0x0f4,0,SDC
imem,0x0f4,1,SDC
imem,0x0f4,2,SDC
imem,0x0f4,3,SDC
imem,0x0f4,4,SDC
imem,0x0f4,5,SDC
imem,0x0f4,6,SDC
imem,0x0f4,7,MASKED
imem,0x0f4,8,MASKED
imem,0x0f4,9,MASKED
imem,0x0f4,10,MASKED
imem,0x0f4,11,MASKED
imem,0x0f4,12,UNCERTAIN
imem,0x0f4,13,MASKED
imem,0x0f4,14,UNCERTAIN
imem,0x0f4,15,SDC
imem,0x0f4,16,SDC
imem,0x0f4,17,SDC
imem,0x0f4,18,SDC
imem,0x0f4,19,SDC
imem,0x0f4,20,MASKED
imem,0x0f4,21,MASKED
imem,0x0f4,22,MASKED
imem,0x0f4,23,MASKED
imem,0x0f4,24,SDC
imem,0x0f4,25,SDC
imem,0x0f4,26,SDC
imem,0x0f4,27,SDC
imem,0x0f4,28,SDC
imem,0x0f4,29,SDC
imem,0x0f4,30,SDC
imem,0x0f4,31,SDC
imem,0x0f8,0,SDC
imem,0x0f8,1,SDC
imem,0x0f8,2,SDC
imem,0x0f8,3,SDC
imem,0x0f8,4,SDC
imem,0x0f8,5,MASKED
imem,0x0f8,6,SDC
imem,0x0f8,7,MASKED
imem,0x0f8,8,MASKED
imem,0x0f8,9,MASKED
imem,0x0f8,10,MASKED
imem,0x0f8,11,MASKED
imem,0x0f8,12,UNCERTAIN
imem,0x0f8,13,MASKED
imem,0x0f8,14,UNCERTAIN
imem,0x0f8,15,SDC
imem,0x0f8,16,SDC
imem,0x0f8,17,SDC
imem,0x0f8,18,SDC
imem,0x0f8,19,SDC
imem,0x0f8,20,MASKED
imem,0x0f8,21,MASKED
imem,0x0f8,22,MASKED
imem,0x0f8,23,MASKED
imem,0x0f8,24,SDC
imem,0x0f8,25,SDC
imem,0x0f8,26,SDC
imem,0x0f8,27,SDC
imem,0x0f8,28,SDC
imem,0x0f8,29,SDC
imem,0x0f8,30,SDC
imem,0x0f8,31,SDC
imem,0x0fc,0,NO_RESULT
imem,0x0fc,1,NO_RESULT
imem,0x0fc,2,NO_RESULT
imem,0x0fc,3,NO_RESULT
imem,0x0fc,4,NO_RESULT
imem,0x0fc,5,NO_RESULT
imem,0x0fc,6,NO_RESULT
imem,0x0fc,7,MASKED
imem,0x0fc,8,MASKED
imem,0x0fc,9,MASKED
imem,0x0fc,10,MASKED
imem,0x0fc,11,MASKED
imem,0x0fc,12,UNCERTAIN
imem,0x0fc,13,MASKED
imem,0x0fc,14,UNCERTAIN
imem,0x0fc,15,NO_RESULT
imem,0x0fc,16,NO_RESULT
imem,0x0fc,17,NO_RESULT
imem,0x0fc,18,NO_RESULT
imem,0x0fc,19,NO_RESULT
imem,0x0fc,20,MASKED
imem,0x0fc,21,MASKED
imem,0x0fc,22,MASKED
imem,0x0fc,23,MASKED
imem,0x0fc,24,NO_RESULT
imem,0x0fc,25,NO_RESULT
imem,0x0fc,26,NO_RESULT
imem,0x0fc,27,NO_RESULT
imem,0x0fc,28,NO_RESULT
imem,0x0fc,29,NO_RESULT
imem,0x0fc,30,NO_RESULT
imem,0x0fc,31,NO_RESULT
imem,0x100,0,HANG
imem,0x100,1,HANG
imem,0x100,2,HANG
imem,0x100,3,HANG
imem,0x100,4,HANG
imem,0x100,5,HANG
imem,0x100,6,HANG
imem,0x100,7,MASKED
imem,0x100,8,MASKED
imem,0x100,9,MASKED
imem,0x100,10,MASKED
imem,0x100,11,MASKED
imem,0x100,12,HANG
imem,0x100,13,HANG
imem,0x100,14,HANG
imem,0x100,15,HANG
imem,0x100,16,HANG
imem,0x100,17,HANG
imem,0x100,18,HANG
imem,0x100,19,HANG
imem,0x100,20,HANG
imem,0x100,21,UNCERTAIN
imem,0x100,22,HANG
imem,0x100,23,HANG
imem,0x100,24,HANG
imem,0x100,25,HANG
imem,0x100,26,HANG
imem,0x100,27,HANG
imem,0x100,28,HANG
imem,0x100,29,HANG
imem,0x100,30,HANG
imem,0x100,31,HANG
dmem,0x000,0,SDC
dmem,0x000,1,SDC
dmem,0x000,2,SDC
dmem,0x000,3,SDC
dmem,0x000,4,SDC
dmem,0x000,5,SDC
dmem,0x000,6,SDC
dmem,0x000,7,SDC
dmem,0x000,8,SDC
dmem,0x000,9,SDC
dmem,0x000,10,SDC
dmem,0x000,11,SDC
dmem,0x000,12,SDC
dmem,0x000,13,SDC
dmem,0x000,14,SDC
dmem,0x000,15,SDC
dmem,0x000,16,SDC
dmem,0x000,17,SDC
dmem,0x000,18,SDC
dmem,0x000,19,SDC
dmem,0x000,20,SDC
dmem,0x000,21,SDC
dmem,0x000,22,SDC
dmem,0x000,23,SDC
dmem,0x000,24,SDC
dmem,0x000,25,SDC
dmem,0x000,26,SDC
dmem,0x000,27,SDC
dmem,0x000,28,SDC
dmem,0x000,29,SDC
dmem,0x000,30,SDC
dmem,0x000,31,SDC
dmem,0x004,0,SDC
dmem,0x004,1,SDC
dmem,0x004,2,SDC
dmem,0x004,3,SDC
dmem,0x004,4,SDC
dmem,0x004,5,SDC
dmem,0x004,6,SDC
dmem,0x004,7,SDC
dmem,0x004,8,SDC
dmem,0x004,9,SDC
dmem,0x004,10,SDC
dmem,0x004,11,SDC
dmem,0x004,12,SDC
dmem,0x004,13,SDC
dmem,0x004,14,SDC
dmem,0x004,15,SDC
dmem,0x004,16,SDC
dmem,0x004,17,SDC
dmem,0x004,18,SDC
dmem,0x004,19,SDC
dmem,0x004,20,SDC
dmem,0x004,21,SDC
dmem,0x004,22,SDC
dmem,0x004,23,SDC
dmem,0x004,24,SDC
dmem,0x004,25,SDC
dmem,0x004,26,SDC
dmem,0x004,27,SDC
dmem,0x004,28,SDC
dmem,0x004,29,SDC
dmem,0x004,30,SDC
dmem,0x004,31,SDC
dmem,0x008,0,SDC
dmem,0x008,1,SDC
dmem,0x008,2,SDC
dmem,0x008,3,SDC
dmem,0x008,4,SDC
dmem,0x008,5,SDC
dmem,0x008,6,SDC
dmem,0x008,7,SDC
dmem,0x008,8,SDC
dmem,0x008,9,SDC
dmem,0x008,10,SDC
dmem,0x008,11,SDC
dmem,0x008,12,SDC
dmem,0x008,13,SDC
dmem,0x008,14,SDC
dmem,0x008,15,SDC
dmem,0x008,16,SDC
dmem,0x008,17,SDC
dmem,0x008,18,SDC
dmem,0x008,19,SDC
dmem,0x008,20,SDC
dmem,0x008,21,SDC
dmem,0x008,22,SDC
dmem,0x008,23,SDC
dmem,0x008,24,SDC
dmem,0x008,25,SDC
dmem,0x008,26,SDC
dmem,0x008,27,SDC
dmem,0x008,28,SDC
dmem,0x008,29,SDC
dmem,0x008,30,SDC
dmem,0x008,31,SDC
dmem,0x00c,0,SDC
dmem,0x00c,1,SDC
dmem,0x00c,2,SDC
dmem,0x00c,3,SDC
dmem,0x00c,4,SDC
dmem,0x00c,5,SDC
dmem,0x00c,6,SDC
dmem,0x00c,7,SDC
dmem,0x00c,8,SDC
dmem,0x00c,9,SDC
dmem,0x00c,10,SDC
dmem,0x00c,11,SDC
dmem,0x00c,12,SDC
dmem,0x00c,13,SDC
dmem,0x00c,14,SDC
dmem,0x00c,15,SDC
dmem,0x00c,16,SDC
dmem,0x00c,17,SDC
dmem,0x00c,18,SDC
dmem,0x00c,19,SDC
dmem,0x00c,20,SDC
dmem,0x00c,21,SDC
dmem,0x00c,22,SDC
dmem,0x00c,23,SDC
dmem,0x00c,24,SDC
dmem,0x00c,25,SDC
dmem,0x00c,26,SDC
dmem,0x00c,27,SDC
dmem,0x00c,28,SDC
dmem,0x00c,29,SDC
dmem,0x00c,30,SDC
dmem,0x00c,31,SDC
dmem,0x010,0,SDC
dmem,0x010,1,SDC
dmem,0x010,2,SDC
dmem,0x010,3,SDC
dmem,0x010,4,SDC
dmem,0x010,5,SDC
dmem,0x010,6,SDC
dmem,0x010,7,SDC
dmem,0x010,8,SDC
dmem,0x010,9,SDC
dmem,0x010,10,SDC
dmem,0x010,11,SDC
dmem,0x010,12,SDC
dmem,0x010,13,SDC
dmem,0x010,14,SDC
dmem,0x010,15,SDC
dmem,0x010,16,SDC
dmem,0x010,17,SDC
dmem,0x010,18,SDC
dmem,0x010,19,SDC
dmem,0x010,20,SDC
dmem,0x010,21,SDC
dmem,0x010,22,SDC
dmem,0x010,23,SDC
dmem,0x010,24,SDC
dmem,0x010,25,SDC
dmem,0x010,26,SDC
dmem,0x010,27,SDC
dmem,0x010,28,SDC
dmem,0x010,29,SDC
dmem,0x010,30,SDC
dmem,0x010,31,SDC
dmem,0x014,0,SDC
dmem,0x014,1,SDC
dmem,0x014,2,SDC
dmem,0x014,3,SDC
dmem,0x014,4,SDC
dmem,0x014,5,SDC
dmem,0x014,6,SDC
dmem,0x014,7,SDC
dmem,0x014,8,SDC
dmem,0x014,9,SDC
dmem,0x014,10,SDC
dmem,0x014,11,SDC
dmem,0x014,12,SDC
dmem,0x014,13,SDC
dmem,0x014,14,SDC
dmem,0x014,15,SDC
dmem,0x014,16,SDC
dmem,0x014,17,SDC
dmem,0x014,18,SDC
dmem,0x014,19,SDC
dmem,0x014,20,SDC
dmem,0x014,21,SDC
dmem,0x014,22,SDC
dmem,0x014,23,SDC
dmem,0x014,24,SDC
dmem,0x014,25,SDC
dmem,0x014,26,SDC
dmem,0x014,27,SDC
dmem,0x014,28,SDC
dmem,0x014,29,SDC
dmem,0x014,30,SDC
dmem,0x014,31,SDC
dmem,0x018,0,SDC
dmem,0x018,1,SDC
dmem,0x018,2,SDC
dmem,0x018,3,SDC
dmem,0x018,4,SDC
dmem,0x018,5,SDC
dmem,0x018,6,SDC
dmem,0x018,7,SDC
dmem,0x018,8,SDC
dmem,0x018,9,SDC
dmem,0x018,10,SDC
dmem,0x018,11,SDC
dmem,0x018,12,SDC
dmem,0x018,13,SDC
dmem,0x018,14,SDC
dmem,0x018,15,SDC
dmem,0x018,16,SDC
dmem,0x018,17,SDC
dmem,0x018,18,SDC
dmem,0x018,19,SDC
dmem,0x018,20,SDC
dmem,0x018,21,SDC
dmem,0x018,22,SDC
dmem,0x018,23,SDC
dmem,0x018,24,SDC
dmem,0x018,25,SDC
dmem,0x018,26,SDC
dmem,0x018,27,SDC
dmem,0x018,28,SDC
dmem,0x018,29,SDC
dmem,0x018,30,SDC
dmem,0x018,31,SDC
dmem,0x01c,0,SDC
dmem,0x01c,1,SDC
dmem,0x01c,2,SDC
dmem,0x01c,3,SDC
dmem,0x01c,4,SDC
dmem,0x01c,5,SDC
dmem,0x01c,6,SDC
dmem,0x01c,7,SDC
dmem,0x01c,8,SDC
dmem,0x01c,9,SDC
dmem,0x01c,10,SDC
dmem,0x01c,11,SDC
dmem,0x01c,12,SDC
dmem,0x01c,13,SDC
dmem,0x01c,14,SDC
dmem,0x01c,15,SDC
dmem,0x01c,16,SDC
dmem,0x01c,17,SDC
dmem,0x01c,18,SDC
dmem,0x01c,19,SDC
dmem,0x01c,20,SDC
dmem,0x01c,21,SDC
dmem,0x01c,22,SDC
dmem,0x01c,23,SDC
dmem,0x01c,24,SDC
dmem,0x01c,25,SDC
dmem,0x01c,26,SDC
dmem,0x01c,27,SDC
dmem,0x01c,28,SDC
dmem,0x01c,29,SDC
dmem,0x01c,30,SDC
dmem,0x01c,31,SDC
