region,offset,bit,model_class
imem,0x098,13,SDC
imem,0x098,14,SDC
imem,0x098,15,SDC
imem,0x098,16,SDC
imem,0x098,17,SDC
imem,0x098,18,SDC
imem,0x098,19,SDC
imem,0x098,20,SDC
imem,0x098,21,SDC
imem,0x098,22,SDC
imem,0x098,23,SDC
imem,0x098,24,SDC
imem,0x098,25,MASKED
imem,0x098,26,MASKED
imem,0x098,27,MASKED
imem,0x098,28,MASKED
imem,0x098,29,MASKED
imem,0x098,30,MASKED
imem,0x098,31,MASKED
imem,0x09c,0,SDC
imem,0x09c,1,SDC
imem,0x09c,2,SDC
imem,0x09c,3,SDC
imem,0x09c,4,UNCERTAIN
imem,0x09c,5,SDC
imem,0x09c,6,SDC
imem,0x09c,7,SDC
imem,0x09c,8,HANG
imem,0x09c,9,SDC
imem,0x09c,10,SDC
imem,0x09c,11,SDC
imem,0x09c,12,SDC
imem,0x09c,13,SDC
imem,0x09c,14,SDC
imem,0x09c,15,SDC
imem,0x09c,16,SDC
imem,0x09c,17,SDC
imem,0x09c,18,SDC
imem,0x09c,19,SDC
imem,0x09c,20,SDC
imem,0x09c,21,SDC
imem,0x09c,22,SDC
imem,0x09c,23,SDC
imem,0x09c,24,SDC
imem,0x09c,25,UNCERTAIN
imem,0x09c,26,UNCERTAIN
imem,0x09c,27,UNCERTAIN
imem,0x09c,28,UNCERTAIN
imem,0x09c,29,UNCERTAIN
imem,0x09c,30,MASKED
imem,0x09c,31,UNCERTAIN
imem,0x0a0,0,SDC
imem,0x0a0,1,SDC
imem,0x0a0,2,HANG
imem,0x0a0,3,SDC
imem,0x0a0,4,HANG
imem,0x0a0,5,SDC
imem,0x0a0,6,SDC
imem,0x0a0,7,SDC
imem,0x0a0,8,SDC
imem,0x0a0,9,SDC
imem,0x0a0,10,SDC
imem,0x0a0,11,SDC
imem,0x0a0,12,SDC
imem,0x0a0,13,SDC
imem,0x0a0,14,SDC
imem,0x0a0,15,SDC
imem,0x0a0,16,HANG
imem,0x0a0,17,SDC
imem,0x0a0,18,SDC
imem,0x0a0,19,SDC
imem,0x0a0,20,SDC
imem,0x0a0,21,SDC
imem,0x0a0,22,SDC
imem,0x0a0,23,SDC
imem,0x0a0,24,SDC
imem,0x0a0,25,SDC
imem,0x0a0,26,SDC
imem,0x0a0,27,SDC
imem,0x0a0,28,SDC
imem,0x0a0,29,SDC
imem,0x0a0,30,SDC
imem,0x0a0,31,HANG
imem,0x0a4,0,SDC
imem,0x0a4,1,SDC
imem,0x0a4,2,HANG
imem,0x0a4,3,SDC
imem,0x0a4,4,HANG
imem,0x0a4,5,SDC
imem,0x0a4,6,SDC
imem,0x0a4,7,SDC
imem,0x0a4,8,SDC
imem,0x0a4,9,SDC
imem,0x0a4,10,SDC
imem,0x0a4,11,SDC
imem,0x0a4,12,UNCERTAIN
imem,0x0a4,13,SDC
imem,0x0a4,14,SDC
imem,0x0a4,15,SDC
imem,0x0a4,16,SDC
imem,0x0a4,17,SDC
imem,0x0a4,18,SDC
imem,0x0a4,19,SDC
imem,0x0a4,20,SDC
imem,0x0a4,21,SDC
imem,0x0a4,22,SDC
imem,0x0a4,23,SDC
imem,0x0a4,24,SDC
imem,0x0a4,25,SDC
imem,0x0a4,26,SDC
imem,0x0a4,27,SDC
imem,0x0a4,28,SDC
imem,0x0a4,29,SDC
imem,0x0a4,30,SDC
imem,0x0a4,31,HANG
imem,0x0a8,0,HANG
imem,0x0a8,1,HANG
imem,0x0a8,2,HANG
imem,0x0a8,3,HANG
imem,0x0a8,4,HANG
imem,0x0a8,5,UNCERTAIN
imem,0x0a8,6,HANG
imem,0x0a8,7,HANG
imem,0x0a8,8,HANG
imem,0x0a8,9,HANG
imem,0x0a8,10,HANG
imem,0x0a8,11,HANG
imem,0x0a8,12,SDC
imem,0x0a8,13,SDC
imem,0x0a8,14,HANG
imem,0x0a8,15,HANG
imem,0x0a8,16,HANG
imem,0x0a8,17,HANG
imem,0x0a8,18,HANG
imem,0x0a8,19,HANG
imem,0x0a8,20,SDC
imem,0x0a8,21,HANG
imem,0x0a8,22,HANG
imem,0x0a8,23,HANG
imem,0x0a8,24,HANG
imem,0x0a8,25,HANG
imem,0x0a8,26,HANG
imem,0x0a8,27,HANG
imem,0x0a8,28,HANG
imem,0x0a8,29,HANG
imem,0x0a8,30,HANG
imem,0x0a8,31,HANG
imem,0x0ac,0,SDC
imem,0x0ac,1,SDC
imem,0x0ac,2,SDC
imem,0x0ac,3,SDC
imem,0x0ac,4,SDC
imem,0x0ac,5,SDC
imem,0x0ac,6,HANG
imem,0x0ac,7,HANG
imem,0x0ac,8,UNCERTAIN
imem,0x0ac,9,SDC
imem,0x0ac,10,SDC
imem,0x0ac,11,SDC
imem,0x0ac,12,SDC
imem,0x0ac,13,UNCERTAIN
imem,0x0ac,14,SDC
imem,0x0ac,15,SDC
imem,0x0ac,16,SDC
imem,0x0ac,17,SDC
imem,0x0ac,18,SDC
imem,0x0ac,19,SDC
imem,0x0ac,20,MASKED
imem,0x0ac,21,MASKED
imem,0x0ac,22,MASKED
imem,0x0ac,23,HANG
imem,0x0ac,24,MASKED
imem,0x0ac,25,HANG
imem,0x0ac,26,HANG
imem,0x0ac,27,HANG
imem,0x0ac,28,HANG
imem,0x0ac,29,HANG
imem,0x0ac,30,HANG
imem,0x0ac,31,HANG
imem,0x0b0,0,SDC
imem,0x0b0,1,SDC
imem,0x0b0,2,SDC
imem,0x0b0,3,SDC
imem,0x0b0,4,UNCERTAIN
imem,0x0b0,5,SDC
imem,0x0b0,6,UNCERTAIN
imem,0x0b0,7,MASKED
